WF_EPISODE_TNE1,TNT: Evilution,,Io Base,,,,,,,,,,,,,,,,,,,,,База Ио,,,,,
WF_EPISODE_TNE2,,,Nighttime Io,,,,,,,,,,,,,,,,,,,,,Вечерний Ио,,,,,
WF_EPISODE_TNE3,,,Hell on Io,,,,,,,,,,,,,,,,,,,,,Ад на Ио,,,,,
WF_EPISODE_PLE1,The Plutonia Experiment,,Earth,,,,,,,,,,,,,,,,,,,,,Земля,,,,,
WF_EPISODE_PLE2,,,Hell,,,,,,,,,,,,,,,,,,,,,Ад,,,,,
WF_EPISODE_PLE3,,,Devil Hive,,,,,,,,,,,,,,,,,,,,,Дьявольский улей,,,,,
WF_EPISODE_ID1EP1,Legacy of Rust,,The Vulcan Abyss,,,,,,,,,,,,,,,,,,,,,Вулканская бездна,,,,,
WF_EPISODE_ID1EP2,,,Counterfeit Eden,,,,,,,,,,,,,,,,,,,,,Поддельный Эдем,,,,,
,options menu text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_MENU_TITLE,,,WadFusion Options,,,,,,,,,,,,,,,,,,,,,Настройки WadFusion,,,,,
WF_MENU_RESTART_TEXT,,,Note: Changing any of these compatibility options requires a level restart.,,,,,,,,,,,,,,,,,,,,,Примечание: Для применения данных настроек совместимости требуется перезапуск уровня.,,,,,
WF_MENU_FD_TEXSWAP,,,Final DOOM texture substitutions,,,,,,,,,,,,,,,,,,,,,Замена текстур в Финальном DOOM,,,,,
WF_MENU_D2SKY_COMPAT,,,DOOM II custom sky compatibility,,,,,,,,,,,,,,,,,,,,,Совместимость с пользовательскими текстурами неба в DOOM II,,,,,
WF_MENU_D1_TEXSWAP,,,DOOM 1 texture substitutions,,,,,,,,,,,,,,,,,,,,,Замена текстур в DOOM 1,,,,,
WF_MENU_ID1_TEXSWAP,,,Legacy of Rust texture substitutions,,,,,,,,,,,,,,,,,,,,,Замена текстур в Legacy of Rust,,,,,
WF_MENU_MASTERLEVELS_TEXSWAP,,,Master Levels texture substitutions,,,,,,,,,,,,,,,,,,,,,Замена текстур в Уровнях мастеров Джима Флинна,,,,,
WF_MENU_KILLCOUNTFIX,,,Don't count summoned and revived enemies,,,,,,,,,,,,,,,,,,,,,Не засчитывать призванных и возрожденных врагов,,,,,
WF_MENU_XBOX_SECRET_EXITS,,,Xbox secret exits,,,,,,,,,,,,,,,,,,,,,Тайные выходы из Xbox,,,,,
WF_MENU_ID1_WEAPSWAP,,,Legacy of Rust weapon substitutions,,,,,,,,,,,,,,,,,,,,,Замена оружий из Legacy of Rust,,,,,
WF_MENU_ID1_WEAPSWAP_OPTVAL1,,,Only in LoR,,,,,,,,,,,,,,,,,,,,,Только в LoR,,,,,
WF_MENU_ID1_WEAPSWAP_OPTVAL2,,,Everywhere,,,,,,,,,,,,,,,,,,,,,Везде,,,,,
WF_MENU_SIGIL2_SPIDERBOSS,,,SIGIL II Spider Mastermind buff,,,,,,,,,,,,,,,,,,,,,Усиление Паука-предводителя в SIGIL II,,,,,
WF_MENU_SIGIL_SHDERS,,,Buckethead soundtrack for SIGIL,,,,,,,,,,,,,,,,,,,,,Саундтрек Buckethead к SIGIL,,,,,
WF_MENU_SIGIL2_SHDERS,,,THORR soundtrack for SIGIL II,,,,,,,,,,,,,,,,,,,,,Саундтрек THORR к SIGIL II,,,,,
WF_MENU_HULSHULT_IDKFA,,,Andrew Hulshult's IDKFA soundtrack,,,,,,,,,,,,,,,,,,,,,Саундтрек IDKFA Эндрю Хулшульта,,,,,
WF_MENU_BLACKROOMSWAP_E1M4B,,,Replace E1M4 with E1M4B,,,,,,,,,,,,,,,,,,,,,Заменить E1M4 на E1M4B,,,,,
WF_MENU_BLACKROOMSWAP_E1M8B,,,Replace E1M8 with E1M8B,,,,,,,,,,,,,,,,,,,,,Заменить E1M8 на E1M8B,,,,,
WF_MENU_HUD,,,WadFusion HUD Options,,,,,,,,,,,,,,,,,,,,,Настройки отображения информации WadFusion,,,,,
WF_MENU_HUD_ID24,,,Always show cell and fuel ammo in status bar,,,,,,,,,,,,,,,,,,,,,Всегда показывать энергобатареи и топливо в строке состояния,,,,,
WF_MENU_HUD_SWAPHEALTHARMOR,,,Swap health and armor in fullscreen HUD,Swap health and armour in fullscreen HUD,,,,,,,,,,,,,,,,,,,,Поменять здоровье и броню местами в полноэкранном отображении информации,,,,,
WF_MENU_HUD_ULTRAWIDE,,,Horizontal fullscreen HUD offset,,,,,,,,,,,,,,,,,,,,,Горизонтальное смещение полноэкранного отображения информации,,,,,
WF_MENU_CREDITS,,,WadFusion Credits,,,,,,,,,,,,,,,,,,,,,Разработчики WadFusion,,,,,
WF_MENU_CREDITS_TITLE,,,Credits,,,,,,,,,,,,,,,,,,,,,Разработчики,,,,,
WF_MENU_CREDITS_DOOM2,,,DOOM II: Hell on Earth,,,,,,,,,,,,,,,,,,,,,DOOM II: Ад на Земле,,,,,
WF_MENU_CREDITS_D2ML,,,Master Levels for DOOM II,,,,,,,,,,,,,,,,,,,,,Уровни мастеров для DOOM II,,,,,
WF_NAME,,,WadFusion,,,,,,,,,,,,,,,,,,,,,,,,,,
,credits headings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_DEVPUB,,,Developed and Published by,,,,,,,,,,,,,,,,,,,,,Разработчик и издатель,,,,,
WF_CRED_CODE,,,Programmers,,,,,,,,,,,,,,,,,,,,,Программисты,,,,,
WF_CRED_ART,,,Artists,,,,,,,,,,,,,,,,,,,,,Художники,,,,,
WF_CRED_BIZ,,,Business,,,,,,,,,,,,,,,,,,,,,Бизнес,,,,,
WF_CRED_SUPPORT,,,Software Support,,,,,,,,,,,,,,,,,,,,,Поддержка ПО,,,,,
WF_CRED_AUDIO,,,Music and Sound,,,,,,,,,,,,,,,,,,,,,Музыка и звуки,,,,,
WF_CRED_AUDIO_CODE,,,Sound Code,,,,,,,,,,,,,,,,,,,,,Звуковой код,,,,,
WF_CRED_LD,,,Level Designers,,,,,,,,,,,,,,,,,,,,,Дизайнеры уровней,,,,,
WF_CRED_THANKS,,,Special Thanks,,,,,,,,,,,,,,,,,,,,,Особая благодарность,,,,,
WF_CRED_DEV,,,Developed by,,,,,,,,,,,,,,,,,,,,,Разработчик,,,,,
WF_CRED_PUB,,,Published by,,,,,,,,,,,,,,,,,,,,,Издатель,,,,,
WF_CRED_ORIG,,,Original DOOM Code and Art Assets,,,,,,,,,,,,,,,,,,,,,Оригинальный код и художественные ресурсы,,,,,
WF_CRED_MUSIC,,,Music,,,,,,,,,,,,,,,,,,,,,Music,,,,,
WF_CRED_COVER,,,Cover Art,,,,,,,,,,,,,,,,,,,,,Обложка,,,,,
WF_CRED_LD1,,,Level Designer,,,,,,,,,,,,,,,,,,,,,Дизайн уровней,,,,,
WF_CRED_TEST,,,Playtesters,,,,,,,,,,,,,,,,,,,,,Тестеры,,,,,
WF_CRED_XBOXLD,,,Xbox Port Level Designers,,,,,,,,,,,,,,,,,,,,,Дизайнеры уровней из порта на Xbox,,,,,
WF_CRED_XBOXLD1,,,Xbox Port Level Designer,,,,,,,,,,,,,,,,,,,,,Дизайнер уровня из порта на Xbox,,,,,
WF_CRED_SOUND,,,Sound,,,,,,,,,,,,,,,,,,,,,Звуки,,,,,
WF_CRED_IDDM1,,,id Deathmatch Pack #1,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_REMIX,,,Remixed DOOM and DOOM II Music,,,,,,,,,,,,,,,,,,,,,Ремикшированная музыка DOOM и DOOM II,,,,,
WF_CRED_WF,,,WadFusion,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_WS,,,Original WadSmoosh,,,,,,,,,,,,,,,,,,,,,Оригинальный WadSmoosh,,,,,
WF_CRED_CONTRIBUTORS,,,Contributors,,,,,,,,,,,,,,,,,,,,,Внесшие вклад,,,,,
WF_CRED_OMG,,,Omgifol Library,,,,,,,,,,,,,,,,,,,,,Библиотека Omgifol,,,,,
WF_CRED_WIDEPIX,,,WidePix,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_ID,credits,,id Software,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_NERVE,,,Nerve Software,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_TNT,,,TeamTNT,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_ROMEROGAMES,,,Romero Games,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_NIGHTDIVE,,,Nightdive Studios,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_MACHINEGAMES,,,MachineGames,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_GTINTERACTIVE,,,GT Interactive Software,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_BETHESDA,,,Bethesda Softworks,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_JOHN_CARMACK,id Software,,John Carmack,,,,,,,,,,,,,,,,,,,,,Джон Кармак,,,,,
WF_CRED_ABRASH,,,Mike Abrash,,,,,,,,,,,,,,,,,,,,,Майк Абраш,,,,,
WF_CRED_TAYLOR,,,Dave Taylor,,,,,,,,,,,,,,,,,,,,,Дэйв Тейлор,,,,,
WF_CRED_ADRIAN_CARMACK,,,Adrian Carmack,,,,,,,,,,,,,,,,,,,,,Адриан Кармак,,,,,
WF_CRED_CLOUD,,,Kevin Cloud,,,,,,,,,,,,,,,,,,,,,Кевин Клауд,,,,,
WF_CRED_WILBUR,,,Jay Wilbur,,,,,,,,,,,,,,,,,,,,,Джей Уилбур,,,,,
WF_CRED_RADEK,,,Paul Radek,,,,,,,,,,,,,,,,,,,,,Пол Радек,,,,,
WF_CRED_PRINCE,,,Robert Prince,,,,,,,,,,,,,,,,,,,,,Роберт Принс,,,,,
WF_CRED_HALL,,,Tom Hall,,,,,,,,,,,,,,,,,,,,,Том Холл,,,,,
WF_CRED_CHASAR,,,Theresa Chasar,,,,,,,,,,,,,,,,,,,,,Тереза Часар,,,,,
WF_CRED_PUNCHATZ,,,Gregor Punchatz,,,,,,,,,,,,,,,,,,,,,Грегор Пунчац,,,,,
WF_CRED_CALVIN,xbox,,David Calvin,,,,,,,,,,,,,,,,,,,,,Дэвид Кэлвин,,,,,
WF_CRED_BLANSHINE,,,David Blanshine,,,,,,,,,,,,,,,,,,,,,Дэвид Бланшайн,,,,,
WF_CRED_KIDBY,Team TNT,,Brian Kidby,,,,,,,,,,,,,,,,,,,,,Брайан Кидби,,,,,
WF_CRED_SNELL,,,Mark Snell,,,,,,,,,,,,,,,,,,,,,Марк Снелл,,,,,
WF_CRED_ELBIZRI,,,Jonathan El-Bizri,,,,,,,,,,,,,,,,,,,,,Джонатан Эль-Бизри,,,,,
WF_CRED_MARTEL,,,Josh Martel,,,,,,,,,,,,,,,,,,,,,Джош Мартел,,,,,
WF_CRED_LA_SIEBEN,,,L.A. Sieben,,,,,,,,,,,,,,,,,,,,,Л. А. Зибен,,,,,
WF_CRED_BOB_MUSTAINE,,,Bob Mustaine,,,,,,,,,,,,,,,,,,,,,Боб Мастейн,,,,,
WF_CRED_BUCKETHEAD,Sigil,,Buckethead,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_PADDOCK,,,James Paddock,,,,,,,,,,,,,,,,,,,,,Джеймс Пэддок,,,,,
WF_CRED_LOVELL,,,Christopher Lovell,,,,,,,,,,,,,,,,,,,,,Кристофер Ловелл,,,,,
WF_CRED_KLIMES,,,Boris Klimeš,,,,,,,,,,,,,,,,,,,,,Борис Климеш,,,,,
WF_CRED_BAUMGARDNER,,,Kurt Baumgardner,,,,,,,,,,,,,,,,,,,,,Курт Баумгарднер,,,,,
WF_CRED_THORR,,,THORR,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_FLAMBEAU,,,FLAMBEAU,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_UBERGWEI,,,UberGewei,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_KEYBOARD_DOOMER,,,KEYBOARD_DOOMER,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_DEW,,,dew,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_AF_DOMAINS,,,AF-Domains,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_TROPIANO,Legacy of Rust,,Matt Tropiano,,,,,,,,,,,,,,,,,,,,,Мэтт Тропиано,,,,,
WF_CRED_BOUVE,,,Andrew 'saar' Bouvé,,,,,,,,,,,,,,,,,,,,,Эндрю «saar» Буве,,,,,
WF_CRED_BOYLE,,,Joshua 'tokyopunchout' Boyle,,,,,,,,,,,,,,,,,,,,,Джошуа «tokyopunchout» Бойл,,,,,
WF_CRED_POLJO,,,Jonatan Pöljö,,,,,,,,,,,,,,,,,,,,,Джонатан Пёльё,,,,,
WF_CRED_CANN,,,Dakota Cann,,,,,,,,,,,,,,,,,,,,,Дакота Канн,,,,,
WF_CRED_HODGSON,,,Chris Hodgson,,,,,,,,,,,,,,,,,,,,,Крис Ходжсон,,,,,
WF_CRED_BERRONES,,,Roger Berrones,,,,,,,,,,,,,,,,,,,,,Роджер Берронес,,,,,
WF_CRED_MOSSHOLDER,,,Chad Mossholder,,,,,,,,,,,,,,,,,,,,,Чад Моссхолдер,,,,,
WF_CRED_HULSHULT,,,Andrew Hulshult,,,,,,,,,,,,,,,,,,,,,Эндрю Хулшулт,,,,,
WF_CRED_OWLET,WadFusion,,Owlet VII,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_BROWN,,,jdbrown,,,,,,,,,,,,,,,,,,,,,Джей-Ди Браун,,,,,
WF_CRED_LEBRETON,,,JP LeBreton,,,,,,,,,,,,,,,,,,,,,Джей-Пи ЛеБретон,,,,,
WF_CRED_JOHANSSON,,,Fredrik Johansson,,,,,,,,,,,,,,,,,,,,,Фредрик Йоханссон,,,,,
WF_CRED_ACKER,,,Devin Acker,,,,,,,,,,,,,,,,,,,,,Девин Акер,,,,,
WF_CRED_MUHANDES,,,Nash Muhandes,,,,,,,,,,,,,,,,,,,,,Нэш Мухандес,,,,,
WF_CRED_SHOCKWAVE,,,Shockwave_S08,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_DOMYOJI81,,,domyoji81,,,,,,,,,,,,,,,,,,,,,,,,,,
,map author names,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_AU_ROMERO,doom1/2,,John Romero,,,,,,,,,,,,,,,,,,,,,Джон Ромеро,,,,,
WF_AU_ROMERO_HALL,,,John Romero & Tom Hall,,,,,,,,,,,,,,,,,,,,,Джон Ромеро и Том Холл,,,,,
WF_AU_PETERSEN_HALL,,,Sandy Petersen & Tom Hall,,,,,,,,,,,,,,,,,,,,,Сэнди Питерсен и Том Холл,,,,,
WF_AU_PETERSEN,,,Sandy Petersen,,,,,,,,,,,,,,,,,,,,,Сэнди Питерсен,,,,,
WF_AU_MCGEE,,,American McGee,,,,,,,,,,,,,,,,,,,,,Американ Макги,,,,,
WF_AU_GREEN,,,Shawn Green,,,,,,,,,,,,,,,,,,,,,Шон Грин,,,,,
WF_AU_WILLITS_CHASAR,,,Tim Willits & Theresa Chasar,,,,,,,,,,,,,,,,,,,,,Тим Уиллитс и Тереза Часар,,,,,
WF_AU_ANDERSON,,,John Anderson,,,,,,,,,,,,,,,,,,,,,Джон Андерсон,,,,,
WF_AU_WILLITS,,,Tim Willits,,,,,,,,,,,,,,,,,,,,,Тим Уиллитс,,,,,
WF_AU_MCGEE_PETERSEN,,,American McGee & Sandy Petersen,,,,,,,,,,,,,,,,,,,,,Американ Макги и Сэнди Питерсен,,,,,
WF_AU_KLIE,master levels,,Christen Klie,,,,,,,,,,,,,,,,,,,,,Кристен Кли,,,,,
WF_AU_MUSTAINES,,,Tom & Bob Mustaine,,,,,,,,,,,,,,,,,,,,,Том и Боб Мастейн,,,,,
WF_AU_FLYNN,,,Jim Flynn,,,,,,,,,,,,,,,,,,,,,Джим Флинн,,,,,
WF_AU_KVERNMO,,,Sverre André Kvernmo,,,,,,,,,,,,,,,,,,,,,Сверре Андре Квернмо,,,,,
WF_AU_KVERNMO_HYNE,,,Sverre André Kvernmo & Gregory Lee Hyne,,,,,,,,,,,,,,,,,,,,,Сверре Андре Квернмо и Грегори Ли Хайн,,,,,
WF_AU_MEAKIM,nerve,,Russell Meakim,,,,,,,,,,,,,,,,,,,,,Рассел Миким,,,,,
WF_AU_IWAKURA,,,Arya Iwakura,,,,,,,,,,,,,,,,,,,,,Арья Ивакура,,,,,
WF_AU_WAKELIN,tnt + plutonia,,John Wakelin,,,,,,,,,,,,,,,,,,,,,Джон Уэйклин,,,,,
WF_AU_PATENALL_MINADEO,,,Robin Patenall & John Minadeo,,,,,,,,,,,,,,,,,,,,,Робин Патеналл и Джон Минадео,,,,,
WF_AU_HALDERMAN,,,Ty Halderman,,,,,,,,,,,,,,,,,,,,,Тай Халдерман,,,,,
WF_AU_DETHLEFSEN,,,Jim Dethlefsen,,,,,,,,,,,,,,,,,,,,,Джим Детлефсен,,,,,
WF_AU_SIEBEN_HALDERMAN,,,Jimmy Sieben & Ty Halderman,,,,,,,,,,,,,,,,,,,,,Джимми Сибен и Тай Халдерман,,,,,
WF_AU_DOWSWELL,,,Andrew Dowswell,,,,,,,,,,,,,,,,,,,,,Эндрю Даусвелл,,,,,
WF_AU_MINADEO,,,John Minadeo,,,,,,,,,,,,,,,,,,,,,Джон Минадео,,,,,
WF_AU_JOHNSON,,,Dean Johnson,,,,,,,,,,,,,,,,,,,,,Дин Джонсон,,,,,
WF_AU_LOWELL,,,Jim Lowell,,,,,,,,,,,,,,,,,,,,,Джим Лоуэлл,,,,,
WF_AU_KIDBY_HALDERMAN,,,Brian Kidby & Ty Halderman,,,,,,,,,,,,,,,,,,,,,Брайан Кидби и Тай Халдерман,,,,,
WF_AU_PATENALL,,,Robin Patenall,,,,,,,,,,,,,,,,,,,,,Робин Патеналл,,,,,
WF_AU_WHITAKER,,,William D. Whitaker,,,,,,,,,,,,,,,,,,,,,Уильям Д. Уитакер,,,,,
WF_AU_ARSENAULT,,,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,Андре Арсено,,,,,
WF_AU_CASALI_HALDERMAN,,,Dario Casali & Ty Halderman,,,,,,,,,,,,,,,,,,,,,Дарио Казали и Тай Халдерман,,,,,
WF_AU_OBRIEN,,,Drake O'Brien,,,,,,,,,,,,,,,,,,,,,Дрейк О'Брайен,,,,,
WF_AU_BUTEAU,,,Christopher Buteau,,,,,,,,,,,,,,,,,,,,,Кристофер Бюто,,,,,
WF_AU_TURNBULL,,,Paul Turnbull,,,,,,,,,,,,,,,,,,,,,Пол Тернбулл,,,,,
WF_AU_HILL,,,David J. Hill,,,,,,,,,,,,,,,,,,,,,Дэвид Дж. Хилл,,,,,
WF_AU_SNELL_LOWELL,,,Mark Snell & Jim Lowell,,,,,,,,,,,,,,,,,,,,,Марк Снелл и Джим Лоуэлл,,,,,
WF_AU_MILO_CASALI,,,Milo Casali,,,,,,,,,,,,,,,,,,,,,Майло Казали,,,,,
WF_AU_SIEBEN,,,Jimmy Sieben,,,,,,,,,,,,,,,,,,,,,Джимми Сибен,,,,,
WF_AU_DARIO_CASALI,,,Dario Casali,,,,,,,,,,,,,,,,,,,,,Дарио Казали,,,,,
WF_AU_CASALIS,,,Dario & Milo Casali,,,,,,,,,,,,,,,,,,,,,Дарио и Майло Казали,,,,,
WF_AU_MUSTAINE,,,Tom Mustaine,,,,,,,,,,,,,,,,,,,,,Том Мастейн,,,,,
WF_AU_CALVIN_BLANSHINE,xbox secret levels,,David Calvin & David Blanshine,,,,,,,,,,,,,,,,,,,,,Дэвид Кэлвин и Дэвид Блэншайн,,,,,
WF_AU_BUKOWSKI,,,Michael Bukowski,,,,,,,,,,,,,,,,,,,,,Майкл Буковски,,,,,
WF_AU_VILLARREAL,id1,,Samuel Villarreal,,,,,,,,,,,,,,,,,,,,,Самуэль Вильярреал,,,,,
WF_AU_XASER,,,Xaser Acheron,,,,,,,,,,,,,,,,,,,,,Хасер Ахерон,,,,,
WF_AU_CARTER,,,Thomas Carter,,,,,,,,,,,,,,,,,,,,,Томас Картер,,,,,
WF_AU_WATSON_XASER,,,Ethan Watson & Xaser Acheron,,,,,,,,,,,,,,,,,,,,,Итан Уотсон и Хасер Ахерон,,,,,
WF_AU_WATSON,,,Ethan Watson,,,,,,,,,,,,,,,,,,,,,Итан Уотсон,,,,,
WF_AU_DUNLOP,,,Kevin Dunlop,,,,,,,,,,,,,,,,,,,,,Кевин Данлоп,,,,,
WF_AU_ID1TEST,,,"nobody, this map just appeared out of thin air like a damn ghost",,,,,,,,,,,,,,,,,,,,,"никто, эта карта просто появилась из ниоткуда, как чертов призрак",,,,,
WF_AU_VICKERS,iddm1,,Ralph 'Ralphis' Vickers,,,,,,,,,,,,,,,,,,,,,Ральф «Ralphis» Викерс,,,,,
WF_AU_CIRIACO,,,Luca Ciriaco,,,,,,,,,,,,,,,,,,,,,Лука Сириако,,,,,
